Province,mean_hosp_rate,stdev_hosp_rate
Base,0.48036887352400215,3.4100007696702216e-4
Eastern Cape,0.43716290697218646,4.710603051745367e-4
Free State,0.37410983330207787,7.809212130161255e-4
Gauteng,0.42335808414851095,3.285976136934204e-4
Limpopo,0.4670193700607566,9.082600396562972e-4
Mpumalanga,0.6504535019318946,0.001620109699594596
Northern Cape,0.45060633162136965,0.0025454465917477643
South Africa,0.4637249134638888,2.2360357008481123e-4
Western Cape,0.455262202740584,5.50914961853935e-4
